date,day_of_week,month,year,quarter,is_holiday,is_national_holiday,is_payday,is_weekend,dcoilwtico,onpromotion,transactions,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_std_7,rolling_min_7,rolling_max_7,rolling_mean_14,rolling_std_14,rolling_min_14,rolling_max_14,rolling_mean_28,rolling_std_28,rolling_min_28,rolling_max_28,unit_sales,store_nbr,family
2014-01-01,2,1,2014,1,1,1,0,0,,0.0,2206.6,4933.0,5355.0,5517.0,4183.0,5369.714285714285,707.9344871492262,4648.0,6674.0,7252.357142857143,3554.6819095415526,4648.0,17276.0,6390.071428571428,2718.91421586403,4183.0,17276.0,6238.65495823133,51,GROCERY I
2014-01-02,3,1,2014,1,0,0,0,0,95.14,0.0,2212.0533333333337,6238.65495823133,4648.0,12820.0,5687.0,5495.950708318762,779.9913856338297,4648.0,6674.0,7303.9039255879525,3532.7463050806955,4648.0,17276.0,6463.48767707969,2684.649063475633,4268.0,17276.0,5432.285458058473,51,GROCERY I
2014-01-03,4,1,2014,1,0,0,0,0,93.66,0.0,2228.355111111111,5432.285458058473,5504.0,6505.0,4268.0,5607.991488041401,688.8977035917969,4717.0,6674.0,6776.210029734985,3179.5142571270417,4648.0,17276.0,6454.390729153207,2687.8073386194646,4268.0,17276.0,5207.576272462462,51,GROCERY I
2014-01-04,5,1,2014,1,0,0,0,1,93.66,0.0,2249.1669481481485,5207.576272462462,5757.0,6385.0,4391.0,5565.645241250323,705.2713377423538,4717.0,6674.0,6683.536906339447,3206.818007375863,4648.0,17276.0,6487.947024598295,2665.270724817605,4391.0,17276.0,5143.4977257705605,51,GROCERY I
2014-01-05,6,1,2014,1,0,0,0,1,93.66,0.0,2261.97251308642,5143.4977257705605,4717.0,7394.0,5456.0,5478.002059217547,715.5730277985972,4717.0,6674.0,6594.858172465916,3232.769282793506,4648.0,17276.0,6514.821943375814,2647.0750508135634,4648.0,17276.0,5876.477427010586,51,GROCERY I
2014-01-06,0,1,2014,1,0,0,0,0,93.12,0.0,2280.438263522634,5876.477427010586,6674.0,17276.0,5887.0,5643.64169164763,640.2957153353117,4933.0,6674.0,6486.463702966672,3229.3523552388388,4648.0,17276.0,6529.838994340478,2642.033702143795,4648.0,17276.0,7120.423436259296,51,GROCERY I
2014-01-07,1,1,2014,1,0,0,0,0,93.31,0.0,2294.519538973388,7120.423436259296,4933.0,8048.0,4727.0,5707.416468256101,769.268823967262,4933.0,7120.423436259296,5761.065376985193,968.5154955056332,4648.0,8048.0,6573.889831349739,2641.200981903079,4648.0,17276.0,6524.855115315701,51,GROCERY I
2014-01-08,2,1,2014,1,0,0,0,0,91.9,0.0,2298.9368569391677,6524.855115315701,6238.65495823133,5355.0,5571.0,5934.82434187263,736.7871503684862,5143.4977257705605,7120.423436259296,5652.2693137934575,753.549654979664,4648.0,7120.423436259296,6638.098942611015,2616.375883339528,4648.0,17276.0,6892.159043876757,51,GROCERY I
2014-01-09,3,1,2014,1,0,0,0,0,91.36,0.0,2308.9347521704735,6892.159043876757,5432.285458058473,4648.0,6694.0,6028.182068393406,818.565703146385,5143.4977257705605,7120.423436259296,5762.066388356084,816.2797410978133,4648.0,7120.423436259296,6685.283194178041,2608.319475148887,4648.0,17276.0,6327.758663363022,51,GROCERY I
2014-01-10,4,1,2014,1,0,0,0,0,92.39,0.0,2326.065910576156,6327.758663363022,5207.576272462462,5504.0,5248.0,6156.106812008341,778.9307893995367,5143.4977257705605,7120.423436259296,5882.049150024871,761.5462889824211,4717.0,7120.423436259296,6672.203146441006,2609.1923004040523,4648.0,17276.0,6280.649065838561,51,GROCERY I
