date,day_of_week,month,year,quarter,is_holiday,is_national_holiday,is_payday,is_weekend,dcoilwtico,onpromotion,transactions,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_std_7,rolling_min_7,rolling_max_7,rolling_mean_14,rolling_std_14,rolling_min_14,rolling_max_14,rolling_mean_28,rolling_std_28,rolling_min_28,rolling_max_28,unit_sales,store_nbr,family
2014-01-01,2,1,2014,1,1,1,0,0,,0.0,2687.133333333333,3372.0,5728.0,4681.0,3593.0,4438.285714285715,901.6700642485059,3372.0,5728.0,5481.785714285715,2249.0864531241064,3372.0,12444.0,5102.785714285715,2184.8162454666585,3372.0,12444.0,5355.73792576656,24,GROCERY I
2014-01-02,3,1,2014,1,0,0,0,0,95.14,0.0,2708.5377777777776,5355.73792576656,3751.0,5860.0,4202.0,4385.105417966652,820.2247702846386,3372.0,5355.73792576656,5529.981280411897,2237.807637048269,3372.0,12444.0,5165.740640205949,2165.007515143779,3372.0,12444.0,4405.242731780807,24,GROCERY I
2014-01-03,4,1,2014,1,0,0,0,0,93.66,0.0,2718.589037037037,4405.242731780807,4712.0,4958.0,11860.0,4478.5686653639095,771.7707153839615,3372.0,5355.73792576656,5426.0700469676685,2255.013868130745,3372.0,12444.0,5172.9993091981205,2161.995300748683,3372.0,12444.0,4635.447529409975,24,GROCERY I
2014-01-04,5,1,2014,1,0,0,0,1,93.66,0.0,2733.2420049382713,4635.447529409975,4557.0,4727.0,3646.0,4467.632598136764,768.4469001146891,3372.0,5355.73792576656,5403.030584782667,2261.8015462825188,3372.0,12444.0,4914.979578105619,1720.389124413931,3372.0,12444.0,4328.156171456039,24,GROCERY I
2014-01-05,6,1,2014,1,0,0,0,1,93.66,0.0,2737.750071769547,4328.156171456039,3604.0,5772.0,3908.0,4434.940622630484,768.8790123746785,3372.0,5355.73792576656,5374.541739886669,2273.453423671565,3372.0,12444.0,4939.342298514764,1706.5275477663747,3372.0,12444.0,4686.303147035496,24,GROCERY I
2014-01-06,0,1,2014,1,0,0,0,0,93.12,0.0,2750.1417408285324,4686.303147035496,5344.0,12444.0,4275.0,4589.555357921269,677.3022958492531,3372.0,5355.73792576656,5296.9919646749195,2277.3665603079194,3372.0,12444.0,4967.138839480317,1695.4089101963352,3372.0,12444.0,4674.771840832045,24,GROCERY I
2014-01-07,1,1,2014,1,0,0,0,0,93.31,0.0,2758.646465522817,4674.771840832045,3372.0,7235.0,3941.0,4493.951335182989,595.3324878626232,3372.0,5355.73792576656,4742.0470961629235,977.4031754681552,3372.0,7235.0,4981.416405224319,1691.0419928740819,3372.0,12444.0,5020.819865417765,24,GROCERY I
2014-01-08,2,1,2014,1,0,0,0,0,91.9,0.0,2770.934681040244,5020.819865417765,5355.73792576656,5728.0,3575.0,4729.497030242671,355.1919328647135,4328.156171456039,5355.73792576656,4583.891372264191,675.4961362127891,3372.0,5728.0,5019.98140041781,1678.7039166440213,3372.0,12444.0,5069.033048873885,24,GROCERY I
2014-01-09,3,1,2014,1,0,0,0,0,91.36,0.0,2795.5658370749193,5069.033048873885,4405.242731780807,3751.0,4450.0,4688.539190686574,279.3838731347604,4328.156171456039,5069.033048873885,4536.822304326612,609.3626130658838,3372.0,5355.73792576656,5073.3397235918765,1654.6453171670814,3372.0,12444.0,5067.719684539923,24,GROCERY I
2014-01-10,4,1,2014,1,0,0,0,0,92.39,0.0,2806.1846983107494,5067.719684539923,4635.447529409975,4712.0,3405.0,4783.178755366447,279.62967304318494,4328.156171456039,5069.033048873885,4630.873710365178,579.6346542490098,3372.0,5355.73792576656,5095.4011408968745,1650.138398167828,3372.0,12444.0,4995.355601600156,24,GROCERY I
